industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
25992,1,10,0,12000000000
25993,1,10,0,12000000000
25994,1,10,0,12000000000
25995,1,10,0,12000000000
25999,1,10,0,12000000000
26111,1,10,0,12000000000
26112,1,10,0,12000000000
26121,1,10,0,12000000000
26129,1,10,0,12000000000
26211,1,10,0,12000000000
26212,1,10,0,12000000000
26219,1,10,0,12000000000
26221,1,10,0,12000000000
26222,1,10,0,12000000000
26223,1,10,0,12000000000
26224,1,10,0,12000000000
26291,1,10,0,12000000000
26292,1,10,0,12000000000
26293,1,10,0,12000000000
26294,1,10,0,12000000000
26299,1,10,0,12000000000
26310,1,10,0,12000000000
26321,1,10,0,12000000000
26322,1,10,0,12000000000
26323,1,10,0,12000000000
26329,1,10,0,12000000000
26410,1,10,0,12000000000
26421,1,10,0,12000000000
26422,1,10,0,12000000000
26429,1,10,0,12000000000
26511,1,10,0,12000000000
26519,1,10,0,12000000000
26521,1,10,0,12000000000
26529,1,10,0,12000000000
26600,1,10,0,12000000000
27111,1,10,0,8000000000
27112,1,10,0,8000000000
27191,1,10,0,8000000000
27192,1,10,0,8000000000
27193,1,10,0,8000000000
27194,1,10,0,8000000000
27195,1,10,0,8000000000
27196,1,10,0,8000000000
27199,1,10,0,8000000000
27211,1,10,0,8000000000
27212,1,10,0,8000000000
27213,1,10,0,8000000000
27214,1,10,0,8000000000
27215,1,10,0,8000000000
27216,1,10,0,8000000000
27219,1,10,0,8000000000
27220,1,10,0,8000000000
27301,1,10,0,8000000000
27309,1,10,0,8000000000
28111,1,10,0,12000000000
28112,1,10,0,12000000000
28113,1,10,0,12000000000
28119,1,10,0,12000000000
28121,1,10,0,12000000000
28122,1,10,0,12000000000
28123,1,10,0,12000000000
28201,1,10,0,12000000000
28202,1,10,0,12000000000
28209,1,10,0,12000000000
28301,1,10,0,12000000000
28302,1,10,0,12000000000
28303,1,10,0,12000000000
28410,1,10,0,12000000000
28421,1,10,0,12000000000
28422,1,10,0,12000000000
28423,1,10,0,12000000000
28429,1,10,0,12000000000
28511,1,10,0,12000000000
28512,1,10,0,12000000000
28519,1,10,0,12000000000
28520,1,10,0,12000000000
28901,1,10,0,12000000000
28902,1,10,0,12000000000
28903,1,10,0,12000000000
28909,1,10,0,12000000000
29111,1,10,0,12000000000
29119,1,10,0,12000000000
29120,1,10,0,12000000000
29131,1,10,0,12000000000
29132,1,10,0,12000000000
29133,1,10,0,12000000000
29141,1,10,0,12000000000
29142,1,10,0,12000000000
29150,1,10,0,12000000000
29161,1,10,0,12000000000
29162,1,10,0,12000000000
29163,1,10,0,12000000000
29169,1,10,0,12000000000
29171,1,10,0,12000000000
29172,1,10,0,12000000000
29173,1,10,0,12000000000
29174,1,10,0,12000000000
29175,1,10,0,12000000000
29176,1,10,0,12000000000
29177,1,10,0,12000000000
29180,1,10,0,12000000000
29191,1,10,0,12000000000
29192,1,10,0,12000000000
29193,1,10,0,12000000000
29199,1,10,0,12000000000
29210,1,10,0,12000000000
29221,1,10,0,12000000000
29222,1,10,0,12000000000
29223,1,10,0,12000000000
29224,1,10,0,12000000000
29229,1,10,0,12000000000
29230,1,10,0,12000000000
29241,1,10,0,12000000000
29242,1,10,0,12000000000
29250,1,10,0,12000000000
29261,1,10,0,12000000000
29269,1,10,0,12000000000
29271,1,10,0,12000000000
29272,1,10,0,12000000000
29280,1,10,0,12000000000
29291,1,10,0,12000000000
29292,1,10,0,12000000000
29293,1,10,0,12000000000
29299,1,10,0,12000000000
30110,1,10,0,3000000000
30121,1,10,0,3000000000
30122,1,10,0,3000000000
30123,1,10,0,3000000000
30124,1,10,0,3000000000
30201,1,10,0,3000000000
30202,1,10,0,3000000000
30203,1,10,0,3000000000
30310,1,10,0,3000000000
30320,1,10,0,3000000000
30331,1,10,0,3000000000
30332,1,10,0,3000000000
30391,1,10,0,3000000000
30392,1,10,0,3000000000
30393,1,10,0,3000000000
30399,1,10,0,3000000000
30400,1,10,0,3000000000
31111,1,10,0,3000000000
31112,1,10,0,3000000000
31113,1,10,0,3000000000
31114,1,10,0,3000000000
31120,1,10,0,3000000000
31201,1,10,0,3000000000
31202,1,10,0,3000000000
31311,1,10,0,3000000000
31312,1,10,0,3000000000
31321,1,10,0,3000000000
31322,1,10,0,3000000000
31910,1,10,0,3000000000
31921,1,10,0,3000000000
31922,1,10,0,3000000000
31991,1,10,0,3000000000
31999,1,10,0,3000000000
32011,1,10,0,3000000000
32019,1,10,0,3000000000
32021,1,10,0,3000000000
32029,1,10,0,3000000000
32091,1,10,0,3000000000
32099,1,10,0,3000000000
33110,1,10,0,3000000000
33120,1,10,0,3000000000
33201,1,10,0,3000000000
33209,1,10,0,3000000000
33301,1,10,0,3000000000
33302,1,10,0,3000000000
33303,1,10,0,3000000000
33309,1,10,0,3000000000
33401,1,10,0,3000000000
33402,1,10,0,3000000000
33409,0,10,0,3000000000
33910,1,10,0,3000000000
33920,1,10,0,3000000000
33931,1,10,0,3000000000
33932,1,10,0,3000000000
33933,1,10,0,3000000000
33991,1,10,0,3000000000
33992,1,10,0,3000000000
33993,1,10,0,3000000000
33999,1,10,0,3000000000
34011,1,10,0,3000000000
34019,1,10,0,3000000000
34020,1,10,0,3000000000
35111,1,5,0,3000000000
35112,1,5,0,3000000000
35113,1,5,0,3000000000
35114,1,5,0,3000000000
35115,1,5,0,3000000000
35119,1,5,0,3000000000
35120,1,5,0,3000000000
35130,1,5,0,3000000000
